"","Id","treatment","flowering","SR","sdNDVI","CVNDVI","RaoQ","MPD","CHV","CVrefl","SpSp"
"117","H09","Vic_sep_F",0,28,0.102998405215521,0.146832803324445,1.98447920230179,2.35172794273069,35.7823442259674,0.334194401004658,49.4444444444444
"118","H10","Pru_vul_U",0,26,0.120473795500709,0.215386060914436,1.76551022851071,2.08609211247416,23.326143680005,0.297540366414995,41.1111111111111
"119","H11","Ach_mil_F",1,18,0.131135164913052,0.241666496047334,3.25807475336999,3.70617296695936,57.5903426711834,0.396116774807395,46.1111111111111
"120","H12","Pla_med_F",0,19,0.0910172140425616,0.157253109030659,1.67882050407029,1.95584192311204,22.4178201849556,0.262116788435581,29
"121","H13","Pla_med_U",1,19,0.0886987348931945,0.185809704886107,1.89587242477417,2.12982992240227,28.5338318008605,0.314297427078864,22
"122","H14","Dia_del_U",0,16,0.11926099889463,0.207465332308287,1.87662837248637,2.2239087617762,22.0676554084148,0.323953423080981,49.1111111111111
"123","H15","Dia_del_F",0,25,0.102779621849295,0.16915655121951,1.7373962585328,2.03997168484609,20.8431908160039,0.294037785367206,46.5555555555556
"124","H16","LP_HF_U",0,21,0.118283469984603,0.17604708002122,1.84307808024682,2.25902444194813,18.3295228360664,0.310809405623053,42.5555555555556
"125","H17","Dia_del_U",1,22,0.096535067190556,0.157826926982787,1.68424510665554,1.93379981833991,28.6560783922097,0.337580911660541,47.4444444444444
"126","H18","HP_LF_F",1,23,0.125860076208962,0.235315701794489,3.46921105103889,3.84435961522918,54.0360387458793,0.449257065733792,47.2222222222222
"127","H19","Pru_vul_F",1,29,0.111832441979774,0.19756314337364,2.59944689430554,2.87962549672425,48.4453724952838,0.435888690791645,46.5555555555556
"128","H20","HP_HF_F",1,24,0.132709653420535,0.249272351154891,3.73192656083692,4.16868488276793,77.1480705166659,0.455326205761944,49.1111111111111
"129","I04","LP_HF_F",0,27,0.107082621853404,0.17015987055137,1.60427233046653,1.9301577622089,21.7072001131309,0.275818170459696,43.7777777777778
"130","I05","LP_LF_F",0,23,0.0933422969048357,0.145781937327318,1.71585022596111,2.00902551701829,27.892480034346,0.28923310840494,50.4444444444444
"131","I06","Dac_glo_U",0,24,0.112025251767613,0.16562293018715,2.22161897266174,2.63474792517649,39.0043112105223,0.364919544032434,49.7777777777778
"132","I07","Tri_pra_F",0,17,0.0868634404327618,0.128659878631209,2.23915153143949,2.56964685319975,34.9861538030476,0.346492140867637,45.2222222222222
"133","I08","HP_LF_U",1,22,0.0880568996921849,0.132663320204983,1.87181929992245,2.12418096472092,55.4430792760788,0.385816131331707,50.4444444444444
"134","I09","Pla_lan_U",0,27,0.0976680001677105,0.151380526666024,1.46519649494392,1.76935473254182,23.4736975197439,0.27684315171158,35.1111111111111
